temperature,top_p,score,file
0.0,0.0,0,code_responses_01.json
0.0,0.5,8,code_responses_01.json
0.0,1.0,9,code_responses_01.json
0.5,0.0,8,code_responses_01.json
0.5,0.5,0,code_responses_01.json
0.5,1.0,8,code_responses_01.json
1.0,0.0,8,code_responses_01.json
1.0,0.5,0,code_responses_01.json
1.0,1.0,0,code_responses_01.json
1.5,0.0,8,code_responses_01.json
1.5,0.5,9,code_responses_01.json
1.5,1.0,4,code_responses_01.json
2.0,0.0,0,code_responses_01.json
2.0,0.5,0,code_responses_01.json
2.0,1.0,0,code_responses_01.json
0.0,0.0,8,code_responses_01.json
0.0,0.5,0,code_responses_01.json
0.0,1.0,9,code_responses_01.json
0.5,0.0,9,code_responses_01.json
0.5,0.5,8,code_responses_01.json
0.5,1.0,8,code_responses_01.json
1.0,0.0,9,code_responses_01.json
1.0,0.5,8,code_responses_01.json
1.0,1.0,9,code_responses_01.json
1.5,0.0,8,code_responses_01.json
1.5,0.5,8,code_responses_01.json
1.5,1.0,8,code_responses_01.json
2.0,0.0,9,code_responses_01.json
2.0,0.5,9,code_responses_01.json
2.0,1.0,0,code_responses_01.json
0.0,0.0,8,code_responses_02.json
0.0,0.0,8,code_responses_02.json
0.0,0.0,7,code_responses_02.json
0.0,0.5,8,code_responses_02.json
0.0,0.5,8,code_responses_02.json
0.0,0.5,7,code_responses_02.json
0.0,1.0,8,code_responses_02.json
0.0,1.0,9,code_responses_02.json
0.0,1.0,7,code_responses_02.json
0.5,0.0,8,code_responses_02.json
0.5,0.0,7,code_responses_02.json
0.5,0.0,6,code_responses_02.json
0.5,0.5,8,code_responses_02.json
1.0,0.0,9,code_responses_02.json
1.0,1.0,9,code_responses_02.json
1.5,0.0,9,code_responses_02.json
1.5,0.0,8,code_responses_02.json
1.5,0.0,8,code_responses_02.json
1.5,0.5,8,code_responses_02.json
1.5,0.5,8,code_responses_02.json
1.5,0.5,7,code_responses_02.json
2.0,0.0,8,code_responses_02.json
2.0,0.5,8,code_responses_02.json
0.0,0.0,9,code_responses_02.json
0.0,0.5,10,code_responses_02.json
0.0,1.0,10,code_responses_02.json
0.5,0.0,10,code_responses_02.json
0.5,0.5,10,code_responses_02.json
0.5,1.0,10,code_responses_02.json
1.0,0.0,9,code_responses_02.json
1.0,0.5,9,code_responses_02.json
1.5,0.0,9,code_responses_02.json
1.5,0.0,10,code_responses_02.json
1.5,0.0,10,code_responses_02.json
1.5,0.5,9,code_responses_02.json
1.5,0.5,10,code_responses_02.json
1.5,0.5,10,code_responses_02.json
1.5,1.0,8,code_responses_02.json
2.0,0.0,10,code_responses_02.json
2.0,0.5,9,code_responses_02.json
2.0,0.5,10,code_responses_02.json
2.0,0.5,10,code_responses_02.json
0.0,0.0,9,code_responses_03.json
0.0,0.5,8,code_responses_03.json
0.0,1.0,9,code_responses_03.json
0.5,0.0,7,code_responses_03.json
0.5,0.5,9,code_responses_03.json
1.0,0.0,8,code_responses_03.json
1.5,0.0,9,code_responses_03.json
2.0,0.0,8,code_responses_03.json
2.0,0.0,9,code_responses_03.json
2.0,0.0,7,code_responses_03.json
0.0,0.0,9,code_responses_03.json
0.0,0.5,10,code_responses_03.json
0.0,1.0,10,code_responses_03.json
0.5,0.0,9,code_responses_03.json
0.5,0.0,10,code_responses_03.json
0.5,0.0,10,code_responses_03.json
0.5,0.5,9,code_responses_03.json
0.5,0.5,9,code_responses_03.json
0.5,0.5,10,code_responses_03.json
0.5,1.0,10,code_responses_03.json
